M,M,L,H,L,L,L,L,L,M,L,L,L,M,M,M,H,L,L,M,H,L,L,M,L,M,L,L,L,L,M,M,L,M,M,H,L,L,M,M,L,M,M,L,L,M,M,L,M,L,M,M,M,M,L,M,L,M,M,L,M,M,L,L,M,M,H,M,M,M,L,M,M,H,M,M,L,M,L,M,L,M,L,H,L,H,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,M,L,H,L,M,L,M,M,L,L,L,H,L,L,M,L,M,L,L,L,M,H,M,L,M,L,M,M,H,M,L,L,L,M,M,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,M,H,M,L,L,H,L,H,L,L,L,M,M,H,M,L,L,M,L,L,M,L,M,L,M,L,M,L,L,M,M,M,L,L,H,H,M,M,L,L,M,L,M,L,M,L,M,M,M,L,L,L,M,M,L,M,M,L,L,L,M,L,L,L,M,M,M,M,H,L,L,L,L,L,M,L,M,L,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,M,L,L,L,L,M,L,L,M,M,M,M,H,H,L,L,M,M,M,L,H,L,H,L,M,H,M,L,L,H,L,L,L,L,L,M,M,H,M,L,L,M,L,L,M,L,M,L,M,L,M,L,L,M,M,M,L,L
